uid,lat,lon,heading,country,city,district,ward,image_path
123,10.783119999466638,106.6930160009336,133.70660744365463,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_123.jpg
124,10.782808731456369,106.69334750202684,133.70660744365463,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_124.jpg
125,10.78249746318846,106.6936790024325,133.70660744365463,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_125.jpg
126,10.776149199466095,106.6879070009346,41.37144430920189,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_126.jpg
127,10.776487448405913,106.68821025628772,41.37144430920189,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_127.jpg
128,10.776149199466095,106.6879070009346,223.15113833956548,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_128.jpg
129,10.775820675040531,106.68759300085904,223.15113833956548,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_129.jpg
130,10.775492150186894,106.68727900147093,223.15113833956548,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_130.jpg
131,10.7751636249052,106.6869650027702,223.15113833956548,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_131.jpg
132,10.769712999465971,106.6839014009348,44.192308323944665,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_132.jpg
133,10.770035171718748,106.68422205750348,44.192308323944665,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_133.jpg
134,10.77075989947024,106.69245720092732,142.6332000143219,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_134.jpg
135,10.770401512510544,106.69273578699436,142.6332000143219,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_135.jpg
136,10.77075989947024,106.69245720092732,234.00895099534657,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_136.jpg
137,10.770495378328825,106.6920865050671,234.00895099534657,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_137.jpg
138,10.77075989947024,106.69245720092732,54.52572664277387,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_138.jpg
139,10.771018735736444,106.69283193948576,54.52572664277387,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_139.jpg
140,10.77011139947071,106.69296130092644,322.6332942176671,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_140.jpg
141,10.7704697865586,106.69268271537126,322.6332942176671,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_141.jpg
142,10.782133999470124,106.69892380092747,221.90719558420724,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_142.jpg
143,10.78179857274065,106.69861735396384,221.90719558420724,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_143.jpg
144,10.781463145597488,106.69831090769044,221.90719558420724,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_144.jpg
145,10.782133999470124,106.69892380092747,313.26268543397697,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_145.jpg
146,10.782442718314382,106.69858987280122,313.26268543397697,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_146.jpg
147,10.782751436896108,106.69825594398638,313.26268543397697,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_147.jpg
148,10.782133999470124,106.69892380092747,133.26338710737193,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_148.jpg
